code_insee,nb_accidents,nb_accidents_graves,nb_accidents_mortels,gravite_moyenne,age_moyen_victimes,lat_moyenne,long_moyenne,nb_accidents_nuit,nb_accidents_pluie,nb_accidents_mouille,annee_min,annee_max,taux_accidents_graves,taux_accidents_mortels,nom_commune,nb_amenagements,longueur_totale_amenagements,longueur_moyenne_amenagement,nb_voies_principales,nb_voies_residentielles,nb_pistes_cyclables,nb_double_sens,nb_sens_unique,nb_asphalt,nb_autres_revetements,ratio_pistes_cyclables,ratio_double_sens,nb_compteurs,comptage_total_commune,comptage_moyen_commune,comptage_max_commune,nom_commune_pop,population,departement,ratio_amenagements_par_accident,longueur_amenagement_par_accident,taux_risque_par_km,taux_risque_par_habitant,taux_risque_grave_par_habitant,densite_pop_amenagement,risque_eleve,categorie_risque,est_paris
95371,4,0,0,3.5,41.0,49.089600000000004,2.5038,0,0,0,2011.0,2021.0,0.0,0.0,Marly-la-Ville,88.0,7981.0,90.69318181818181,6.0,62.0,5.0,56.0,29.0,76.0,12.0,0.056818181818181816,0.6363636363636364,0.0,0.0,0.0,0.0,Marly-la-Ville,5681,95,22.0,1995.25,0.5011903270266884,7.041013906002465,0.0,711.8155619596542,0,Faible,0
95379,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Maudétour-en-Vexin,18.0,2740.0,152.22222222222223,0.0,16.0,0.0,16.0,1.0,0.0,18.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,Maudétour-en-Vexin,198,95,18.0,2740.0,0.0,0.0,0.0,72.26277372262773,0,Très faible,0
95388,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Menucourt,258.0,24345.0,94.36046511627907,55.0,50.0,0.0,177.0,61.0,236.0,22.0,0.0,0.686046511627907,0.0,0.0,0.0,0.0,Menucourt,6093,95,258.0,24345.0,0.0,0.0,0.0,250.2772643253235,0,Très faible,0
95392,3,0,0,3.3333333333333335,38.666666666666664,32.7169,1.4732,0,0,0,2007.0,2017.0,0.0,0.0,Mériel,61.0,10679.0,175.0655737704918,9.0,14.0,0.0,14.0,13.0,14.0,47.0,0.0,0.22950819672131148,0.0,0.0,0.0,0.0,Mériel,5213,95,20.333333333333332,3559.6666666666665,0.280925180260324,5.754843660080568,0.0,488.15432156568966,0,Faible,0
95394,5,0,0,3.8,57.8,24.53485,1.08945,0,0,0,2016.0,2023.0,0.0,0.0,Méry-sur-Oise,54.0,12276.0,227.33333333333334,8.0,5.0,8.0,14.0,3.0,17.0,37.0,0.14814814814814814,0.25925925925925924,0.0,0.0,0.0,0.0,Méry-sur-Oise,10046,95,10.8,2455.2,0.4072987943955686,4.977105315548477,0.0,818.3447376995764,0,Faible,0
95395,1,0,0,3.0,65.0,49.0519,2.4091,0,0,0,2013.0,2013.0,0.0,0.0,Le Mesnil-Aubry,6.0,437.0,72.83333333333333,0.0,6.0,0.0,4.0,2.0,0.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,Le Mesnil-Aubry,905,95,6.0,437.0,2.288329519450801,11.049723756906078,0.0,2070.938215102975,0,Très faible,0
95409,3,0,0,4.0,48.666666666666664,,,0,0,0,2019.0,2021.0,0.0,0.0,Moisselles,67.0,7377.0,110.1044776119403,26.0,29.0,4.0,36.0,24.0,60.0,7.0,0.05970149253731343,0.5373134328358209,0.0,0.0,0.0,0.0,Moisselles,1254,95,22.333333333333332,2459.0,0.406669377795852,23.923444976076553,0.0,169.98779991866613,0,Faible,0
95422,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Montgeroult,8.0,274.0,34.25,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,Montgeroult,338,95,8.0,274.0,0.0,0.0,0.0,1233.5766423357663,0,Très faible,0
95424,13,0,0,3.769230769230769,29.307692307692307,18.84377230769231,0.8446307692307692,4,2,2,2005.0,2016.0,0.0,0.0,Montigny-lès-Cormeilles,495.0,53992.0,109.07474747474747,46.0,224.0,21.0,324.0,103.0,210.0,285.0,0.04242424242424243,0.6545454545454545,0.0,0.0,0.0,0.0,Montigny-lès-Cormeilles,22603,95,38.07692307692308,4153.2307692307695,0.2407764113201956,5.751448922709375,0.0,418.63609423618317,1,Modéré,0
95426,8,0,0,3.625,52.25,18.3783975,0.8558749999999999,0,0,0,2007.0,2015.0,0.0,0.0,Montlignon,78.0,13976.0,179.17948717948718,23.0,16.0,9.0,16.0,32.0,43.0,35.0,0.11538461538461539,0.20512820512820512,0.0,0.0,0.0,0.0,Montlignon,2894,95,9.75,1747.0,0.5724098454493417,27.643400138217,0.0,207.06926159129935,1,Modéré,0
